Image;La2_length;La2_mm;La3_length;La3_mm;La4_length;La4_mm;Ra2_length;Ra2_mm;Ra3_length;Ra3_mm;Ra4_length;Ra4_mm;Body_length;Body_mm
img (288).JPG;102.8776952;0.207663122;131.236834;0.264907283;126.0104881;0.254357675;95.00944134;0.191780708;132.6559813;0.267771894;130.1100266;0.262632773;2094.044727;4.226920766
;;;;;;;;;;;;;;
img (290).JPG;91.14958588;0.183989421;109.3032586;0.220633403;108.6614577;0.2193379;94.71056314;0.191177409;106.6201006;0.215217331;113.5126389;0.229130221;1880.121649;3.795107686
;;;;;;;;;;;;;;
img (293).JPG;92.65911439;0.18703647;133.9423166;0.270368418;129.9236125;0.262256488;105.1009996;0.212150959;133.873231;0.270228965;127.841921;0.258054503;2006.973623;4.051163938
;;;;;;;;;;;;;;
img (295).JPG;108.1640409;0.218333842;134.8275067;0.272155213;155.2754491;0.313430278;106.1765515;0.214322008;134.1858226;0.270859945;142.8921882;0.288434125;2208.738602;4.458435365
;;;;;;;;;;;;;;
img (298).JPG;106.8494141;0.21568021;153.5849357;0.310017903;151.0965768;0.304995041;112.4723025;0.227030256;152.981226;0.308799288;151.0231391;0.304846804;2210.510901;4.462012826
;;;;;;;;;;;;;;
img (30).JPG;121.3130118;0.244875614;122.3022474;0.246872429;120.2920297;0.242814717;95.12006362;0.192004004;109.5236636;0.2210783;126.5403426;0.25542721;1958.318772;3.952951997
;;;;;;;;;;;;;;
img (300).JPG;110.8162882;0.223687519;143.0656637;0.288784292;145.9718824;0.294650622;108.692844;0.219401254;122.4608678;0.247192612;141.1738707;0.284965626;2135.223307;4.310041529
;;;;;;;;;;;;;;
img (302).JPG;88.76140095;0.179168766;118.5176184;0.239232991;119.9071223;0.242037765;101.2953497;0.204469089;127.4406992;0.257244619;126.099507;0.254537364;1864.154622;3.762877545
;;;;;;;;;;;;;;
img (304).JPG;96.96419727;0.195726468;102.7134685;0.207331623;128.0536144;0.258481815;95.73274368;0.193240725;122.6246513;0.247523216;126.0568576;0.254451274;1867.712558;3.770059395
;;;;;;;;;;;;;;
img (306).JPG;87.13390421;0.175883592;93.94998878;0.189642157;98.13715783;0.19809414;96.71726157;0.195228018;114.9923191;0.23211702;124.681723;0.251675505;1687.555043;3.40640358
;;;;;;;;;;;;;;
img (308).JPG;111.9552585;0.22598658;132.0033838;0.266454597;137.1419294;0.276826976;119.6000463;0.241417919;132.4953448;0.267447642;135.4546195;0.273421067;2035.594366;4.108936159
;;;;;;;;;;;;;;
img (31).JPG;128.8009765;0.259990398;153.4142993;0.309673465;179.0550768;0.361430495;130.1375455;0.262688321;163.3016413;0.329631497;170.8374129;0.344842781;2342.498931;4.728436432
;;;;;;;;;;;;;;
img (310).JPG;112.4240557;0.226932868;150.9357671;0.30467044;150.3708236;0.303530077;124.6273513;0.251565753;149.11398;0.300993083;151.6733702;0.306159324;2185.636118;4.41180199
;;;;;;;;;;;;;;
img (312).JPG;107.1912754;0.216370272;124.4196398;0.251146479;129.8909191;0.262190495;108.0432369;0.218089994;130.3189297;0.263054453;143.6282162;0.289919829;2067.328551;4.172992997
;;;;;;;;;;;;;;
img (314).JPG;94.41202967;0.190574807;131.4050021;0.265246737;136.1086813;0.27474132;127.936081;0.258244569;155.481001;0.313845193;164.4100536;0.331868876;2408.877855;4.86242519
;;;;;;;;;;;;;;
img (316).JPG;92.17745759;0.186064225;117.8773451;0.237940571;110.7598205;0.223573536;94.44941948;0.19065028;104.7150885;0.211371981;119.8751055;0.241973138;1778.017222;3.589005441
;;;;;;;;;;;;;;
